type_f;type_f;clasification_fm;vol_group;vola_coeff;Ncf;Pcf;Kcf;Ccf
;;;;;;;;
;;;;;Nitrogen;Phosphorus;Potassium;Carbon
;;Inorganic/organic;Vol_group;Vol_coef;Total;P2O5 total;K2O total;C
Urea 46%;type_fm;Inorganic;Urea;155;0,46;0;0;
Urea 46%+ Inhibitor;type_fm;Inorganic;Urea;155;0,46;0;0;
Urea 40%+ Sulphur (YARA Sulfamid);type_fm;Inorganic;Urea;155;0,4;0;0;
Ammonium nitrophosphate 26%;type_fm;Inorganic;AP;50;0,26;0;0;
Ammonium nitrophosphate 21%;type_fm;Inorganic;AP;50;0,21;0;0;
Solution N-32;type_fm;Inorganic;N solutions;98;0,32;0;0;
Solution N-20;type_fm;Inorganic;N solutions;98;0,2;0;0;
Solution N-26;type_fm;Inorganic;N solutions;98;0,26;0;0;
Calcium nitrate solution;type_fm;Inorganic;N solutions;98;0,09;0;0;
Magnesium nitrate solution;type_fm;Inorganic;N solutions;98;0,07;0;0;
Nitro33;type_fm;Inorganic;Other straight N;10;0,33;0;0;
Nitroplus;type_fm;Inorganic;Other straight N;10;0,18;0;0;
Ammonium nitrate 33%;type_fm;Inorganic;AN;15;0,333;0;0;
Ammonium nitrate 27% (NAC);type_fm;Inorganic;AN;15;0,27;0;0;
Ammonium nitrate 20%;type_fm;Inorganic;AN;15;0,2;0;0;
Magnesium sulfate;type_fm;Inorganic;noN;0;;0;0;
Ammonium sulfate 21%;type_fm;Inorganic;AS;90;0,21;0;0;
Solfocal-humus;type_fo;organic;NPK mixtures;50;0,03;0,02;0,015;0,25
Azocor 105;type_fo;organic;NPK mixtures;50;0,11;0,015;0,005;0,35
Organfast 14 medium;type_fo;organic;NPK mixtures;50;0,14;0;0;0,4
Italpollina;type_fo;organic;NPK mixtures;50;0,04;0,04;0,04;0,41
horn meal;type_fo;organic;NPK mixtures;50;0,152;0,0029;0,0015;0,474
