nbcodcultur,Name,symbiotic fixation kg N/ u,N export,P2O5 export,K2O export,unit,observations,coeff energy,DM/U,species,crop categ,export unit of DM,Residues coefficient of A surface (slope),Residues coefficient of B surface (intercept),below-ground part of residues on the total biomass ,N content in above-ground residues (t N/unit),N content in below-ground residues (t N/tDM),Conversion coeff unit harvest/tonne,Crop type,Emission factor of crop seed (kgeqCO2/kg seeds),Land use category (SOC calculation),Soil cover during winter (default value),% of legumes in the crop (default value),Cf (combustion factor),Crop code
,Open-grown tobacco,,1.6,0.6,3.4,t,bilan minéraux IE,0.77,0.1,tobacco,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Parsley,,2.5,1,8,t,Chaux et Foury,1,0.1,parsley,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Parsnip ,,1.9,1.6,4.5,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,3.1,0.2,parsnip ,ca,t,0.1,1.06,0.2,0.019,0.014,1,legu,0,annual crop,no,0,0.8,0
,Peanut ,,41.3,8.6,8.5,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,23.7,0.94,peanut ,ca,t,,,,,,1,fruit,0,annual crop,no,0,0.8,0
,Peas (winter. spring),32.5,32.5,8,11,t (RH 14%),bilan minéraux IE,15.73,0.86,pea,ca,t,1.13,0.85,0.19,0.01161,0.0088,1,cop,0.149,annual crop,yes,1,0.8,0
,Pickle,,1.6,0.5,1.8,t,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2053/2,0.5,0.1,pickle,ca,t,0.0747,0,0.1,0.0415,0.0415,1,legu,0,annual crop,no,0,0.8,0
,Pimento,,3.2,1.1,4.1,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,1.7,0.08,pimento,ca,t,,,,,,1,legu,0,annual crop,,0,0.8,0
,Poppy ,,19,13,8,t,Données internet cédric + NPK Tournesol,22.3,0.93,poppy ,ca,t,2,0,0.2,0.0165,0.0165,1,COP,0,annual crop,no,0,0.8,0
,Potato,,3.55,1.7,6.5,t,corpen,3.45,0.2,potato,ca,t,0.1,1.06,0.2,0.019,0.014,1,legu,0.105,annual crop,no,0,0.8,0
,Pumpkin ,,2,0.7,4.8,t DM,Données internet - cédric + FAB PACA,1.3,0.1,pumpkin ,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Radish,,1.777777778,0.888888889,1.777777778,1000,CDDM,0.72,0.2,radish,ca,1000,,,,,,,legu,0,annual crop,no,0,0.8,0
,Rape ,,35,15,10,t (RH 11%),CA31,25.22,0.89,rape,ca,t,2,0,0.2,0.0165,0.0165,1,COP,1.381,annual crop,yes,0,0.8,0
,Red beet,,2.7,1.3,5.15,t,CTIFL,1,0.1,beet,ca,t,0.0103,0,0.2,0.0442,0.0442,1,legu,0,annual crop,no,0,0.8,0
,Red cabbage,,1.9,0.65,2.6,t,N. Rosssier Migros 91 (FAB PACA) + données internet Cédric,1,0.09,cabbage,ca,t,0.0103,0,0.2,0.0442,0.0442,1,legu,0,annual crop,no,0,0.8,0
,Rhubarb,,1.4,0.3,3.5,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,0.9,0.07,rhubarb,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Rice,,14,3,3,t (RH 13%),ca31,15.56,0.87,rice,ca,t,0.95,2.46,0.16,0.0088,0,1,COP,0,annual crop,no,0,0.8,0
,Rye,,14,10,6,t (RH 15%),corpen,17.45,0.85,rye,ca,t,1.09,0.88,0.22,0.004368,0.0121,1,COP,0.348,annual crop,yes,0,0.8,0
,Rye-grass <= 18 mois,,25,0.8,31,t DM,,18.4,1,ryegrass,ca,tDMFG,0.3,0,0.54,0.015,0.012,1,FG,0,annual crop,yes,0,0.8,0
,Safflower,,19,13,8,t,données internet - cédric + NPK tournesol,2.1,0.93,safflower,ca,t,,,,,,1,fleur,0,annual crop,no,0,0.8,0
,Salsify,,3,1,3,t,Données internet cédric + ADASEA 45,3.4,0.23,salsify,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Seed corn,,15,7,5,t (RH 13.5%),CA31,16.21,0.86,maize,ca,t,1.03,0.61,0.22,0.00066,0.00077,1,COP,0,annual crop,no,0,0.8,0
,Seed flax,,35,18,12,t (RH 11%),ca31,23.47,0.89,flax,ca,t,,,,,,1,COP,0,annual crop,no,0,0.8,0
,Shallot,,2,1.5,5.5,t,corpen,1.45,0.3,shallot,ca,t,0.0122,0,0.1,0.0606,0.0606,1,legu,0,annual crop,no,0,0.8,0
,Sillage corn,,12.5,5.5,12.5,t DM,corpen,18.7,1,maize,ca,tDMFG,0.3,0,0.22,0.006,0.012,1,FG,0,annual crop,no,0,0.8,0
